2024-07-05 13:04:58,044 - Normal packet. Packet info: {'duration': 1720164897.984642, 'protocol_type': 'tcp', 'service': 5222, 'flag': <Flag 2 (DF)>, 'src_bytes': 336, 'dst_bytes': 370, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:04:58,093 - Normal packet. Packet info: {'duration': 1720164898.029849, 'protocol_type': 'tcp', 'service': 52018, 'flag': <Flag 2 (DF)>, 'src_bytes': 73, 'dst_bytes': 107, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:04:58,137 - Normal packet. Packet info: {'duration': 1720164898.053282, 'protocol_type': 'tcp', 'service': 5222, 'flag': <Flag 2 (DF)>, 'src_bytes': 20, 'dst_bytes': 54, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:00,061 - Anomaly detected! Packet info: {'duration': 1720164899.979254, 'protocol_type': 'udp', 'service': 5353, 'flag': 0, 'src_bytes': 299, 'dst_bytes': 333, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:00,841 - Anomaly detected! Packet info: {'duration': 1720164900.746966, 'protocol_type': 'other', 'service': 0, 'flag': 0, 'src_bytes': 24, 'dst_bytes': 62, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:01,285 - Anomaly detected! Packet info: {'duration': 1720164901.207483, 'protocol_type': 'udp', 'service': 5353, 'flag': 0, 'src_bytes': 57, 'dst_bytes': 91, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:02,323 - Anomaly detected! Packet info: {'duration': 1720164902.230765, 'protocol_type': 'udp', 'service': 5353, 'flag': 0, 'src_bytes': 57, 'dst_bytes': 91, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:04,464 - Normal packet. Packet info: {'duration': 1720164904.392158, 'protocol_type': 'tcp', 'service': 443, 'flag': <Flag 2 (DF)>, 'src_bytes': 44, 'dst_bytes': 78, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:04,535 - Normal packet. Packet info: {'duration': 1720164904.392454, 'protocol_type': 'tcp', 'service': 52041, 'flag': <Flag 2 (DF)>, 'src_bytes': 48, 'dst_bytes': 82, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:04,605 - Normal packet. Packet info: {'duration': 1720164904.408076, 'protocol_type': 'tcp', 'service': 443, 'flag': <Flag 2 (DF)>, 'src_bytes': 20, 'dst_bytes': 54, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:05,063 - Normal packet. Packet info: {'duration': 1720164904.973734, 'protocol_type': 'tcp', 'service': 443, 'flag': <Flag 2 (DF)>, 'src_bytes': 44, 'dst_bytes': 78, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:05,140 - Normal packet. Packet info: {'duration': 1720164904.974327, 'protocol_type': 'tcp', 'service': 52166, 'flag': <Flag 2 (DF)>, 'src_bytes': 48, 'dst_bytes': 82, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:05,361 - Normal packet. Packet info: {'duration': 1720164904.98994, 'protocol_type': 'tcp', 'service': 443, 'flag': <Flag 2 (DF)>, 'src_bytes': 20, 'dst_bytes': 54, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:05,425 - Anomaly detected! Packet info: {'duration': 1720164905.30579, 'protocol_type': 'udp', 'service': 5353, 'flag': 0, 'src_bytes': 57, 'dst_bytes': 91, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:09,284 - Anomaly detected! Packet info: {'duration': 1720164909.194087, 'protocol_type': 'udp', 'service': 5353, 'flag': 0, 'src_bytes': 69, 'dst_bytes': 103, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:10,708 - Anomaly detected! Packet info: {'duration': 1720164910.629751, 'protocol_type': 'udp', 'service': 57655, 'flag': 0, 'src_bytes': 37, 'dst_bytes': 71, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:10,772 - Anomaly detected! Packet info: {'duration': 1720164910.655339, 'protocol_type': 'udp', 'service': 443, 'flag': 0, 'src_bytes': 33, 'dst_bytes': 67, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:11,368 - Normal packet. Packet info: {'duration': 1720164911.273018, 'protocol_type': 'tcp', 'service': 58182, 'flag': <Flag 2 (DF)>, 'src_bytes': 21, 'dst_bytes': 55, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:11,427 - Normal packet. Packet info: {'duration': 1720164911.292065, 'protocol_type': 'tcp', 'service': 443, 'flag': <Flag 0 ()>, 'src_bytes': 32, 'dst_bytes': 66, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:12,759 - Anomaly detected! Packet info: {'duration': 1720164912.66001, 'protocol_type': 'udp', 'service': 443, 'flag': 0, 'src_bytes': 159, 'dst_bytes': 193, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:12,809 - Anomaly detected! Packet info: {'duration': 1720164912.660796, 'protocol_type': 'udp', 'service': 57655, 'flag': 0, 'src_bytes': 44, 'dst_bytes': 78, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:13,076 - Anomaly detected! Packet info: {'duration': 1720164912.676102, 'protocol_type': 'udp', 'service': 443, 'flag': 0, 'src_bytes': 167, 'dst_bytes': 201, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:13,140 - Anomaly detected! Packet info: {'duration': 1720164912.676648, 'protocol_type': 'udp', 'service': 57655, 'flag': 0, 'src_bytes': 44, 'dst_bytes': 78, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:13,207 - Anomaly detected! Packet info: {'duration': 1720164912.689457, 'protocol_type': 'udp', 'service': 57655, 'flag': 0, 'src_bytes': 273, 'dst_bytes': 307, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:13,271 - Anomaly detected! Packet info: {'duration': 1720164912.690383, 'protocol_type': 'udp', 'service': 57655, 'flag': 0, 'src_bytes': 275, 'dst_bytes': 309, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
